mois	date	equipe1	competition	score	equipe2	equipe1_goal	equipe2_goal	equipe_REF	Bilan	Competition_bis	MoisL
9	2019-09-22	Bologne	SerieA	1-2	ASRome	1	2	AS ROME	V	Championnat	Septembre
9	2019-09-25	ASRome	SerieA	0-2	AtalantaBergame	0	2	AS ROME	D	Championnat	Septembre
9	2019-09-29	Lecce	SerieA	0-1	ASRome	0	1	AS ROME	V	Championnat	Septembre
3	2019-03-10	WolfsbergerAC	C3	1-1	ASRome	1	1	AS ROME	N	C3	Mars
6	2019-06-10	ASRome	SerieA	1-1	Cagliari	1	1	AS ROME	N	Championnat	Juin
10	2019-10-20	SampdoriaGênes	SerieA	0-0	ASRome	0	0	AS ROME	N	Championnat	Octobre
10	2019-10-24	ASRome	C3	1-1	BorussiaM'Gladbach	1	1	AS ROME	N	C3	Octobre
10	2019-10-27	ASRome	SerieA	2-1	ACMilan	2	1	AS ROME	V	Championnat	Octobre
10	2019-10-30	Udinese	SerieA	0-4	ASRome	0	4	AS ROME	V	Championnat	Octobre
2	2019-02-11	ASRome	SerieA	2-1	Naples	2	1	AS ROME	V	Championnat	Février
7	2019-07-11	BorussiaM'Gladbach	C3	2-1	ASRome	2	1	AS ROME	D	C3	Juillet
10	2019-10-11	Parme	SerieA	2-0	ASRome	2	0	AS ROME	D	Championnat	Octobre
11	2019-11-24	ASRome	SerieA	3-0	Brescia	3	0	AS ROME	V	Championnat	Novembre
11	2019-11-28	IstanbulBasaksehir	C3	0-3	ASRome	0	3	AS ROME	V	C3	Novembre
1	2019-01-12	HellasVérone	SerieA	1-3	ASRome	1	3	AS ROME	V	Championnat	Janvier
6	2019-06-12	InterMilan	SerieA	0-0	ASRome	0	0	AS ROME	N	Championnat	Juin
12	2019-12-12	ASRome	C3	2-2	WolfsbergerAC	2	2	AS ROME	N	C3	Décembre
12	2019-12-15	ASRome	SerieA	3-1	SPAL	3	1	AS ROME	V	Championnat	Décembre
12	2019-12-20	Fiorentina	SerieA	1-4	ASRome	1	4	AS ROME	V	Championnat	Décembre
5	2020-05-01	ASRome	SerieA	0-2	Torino	0	2	AS ROME	D	Championnat	Mai
3	2019-03-08	BorussiaDortmund	SC	2-0	BayernMunich	2	0	BAYERN MUNICH	D	CoupeNat	Mars
12	2019-12-08	EnergieCottbus	CN	1-3	BayernMunich	1	3	BAYERN MUNICH	V	CoupeNat	Décembre
8	2019-08-16	BayernMunich	Bundes	2-2	HerthaBerlin	2	2	BAYERN MUNICH	N	Championnat	Août
8	2019-08-24	Schalke04	Bundes	0-3	BayernMunich	0	3	BAYERN MUNICH	V	Championnat	Août
8	2019-08-31	BayernMunich	Bundes	6-1	Mayence	6	1	BAYERN MUNICH	V	Championnat	Août
9	2019-09-14	RBLeipzig	Bundes	1-1	BayernMunich	1	1	BAYERN MUNICH	N	Championnat	Septembre
9	2019-09-18	BayernMunich	LDC	3-0	EtoileRougeBelgrade	3	0	BAYERN MUNICH	V	LDC	Septembre
9	2019-09-21	BayernMunich	Bundes	4-0	FCCologne	4	0	BAYERN MUNICH	V	Championnat	Septembre
9	2019-09-28	Paderborn	Bundes	2-3	BayernMunich	2	3	BAYERN MUNICH	V	Championnat	Septembre
1	2019-01-10	Tottenham	LDC	2-7	BayernMunich	2	7	BAYERN MUNICH	V	LDC	Janvier
5	2019-05-10	BayernMunich	Bundes	1-2	Hoffenheim	1	2	BAYERN MUNICH	D	Championnat	Mai
10	2019-10-19	Augsbourg	Bundes	2-2	BayernMunich	2	2	BAYERN MUNICH	N	Championnat	Octobre
10	2019-10-22	Olympiakos	LDC	2-3	BayernMunich	2	3	BAYERN MUNICH	V	LDC	Octobre
10	2019-10-26	BayernMunich	Bundes	2-1	UnionBerlin	2	1	BAYERN MUNICH	V	Championnat	Octobre
10	2019-10-29	Bochum	CN	1-2	BayernMunich	1	2	BAYERN MUNICH	V	CoupeNat	Octobre
2	2019-02-11	EintrachtFrancfort	Bundes	5-1	BayernMunich	5	1	BAYERN MUNICH	D	Championnat	Février
6	2019-06-11	BayernMunich	LDC	2-0	Olympiakos	2	0	BAYERN MUNICH	V	LDC	Juin
9	2019-09-11	BayernMunich	Bundes	4-0	BorussiaDortmund	4	0	BAYERN MUNICH	V	Championnat	Septembre
11	2019-11-23	FortunaDüsseldorf	Bundes	0-4	BayernMunich	0	4	BAYERN MUNICH	V	Championnat	Novembre
11	2019-11-26	EtoileRougeBelgrade	LDC	0-6	BayernMunich	0	6	BAYERN MUNICH	V	LDC	Novembre
11	2019-11-30	BayernMunich	Bundes	1-2	BayerLeverkusen	1	2	BAYERN MUNICH	D	Championnat	Novembre
7	2019-07-12	BorussiaM'Gladbach	Bundes	2-1	BayernMunich	2	1	BAYERN MUNICH	D	Championnat	Juillet
11	2019-11-12	BayernMunich	LDC	3-1	Tottenham	3	1	BAYERN MUNICH	V	LDC	Novembre
12	2019-12-14	BayernMunich	Bundes	6-1	WerderBrême	6	1	BAYERN MUNICH	V	Championnat	Décembre
12	2019-12-18	Fribourg	Bundes	1-3	BayernMunich	1	3	BAYERN MUNICH	V	Championnat	Décembre
12	2019-12-21	BayernMunich	Bundes	2-0	Wolfsburg	2	0	BAYERN MUNICH	V	Championnat	Décembre
3	2019-03-08	BorussiaDortmund	SC	2-0	BayernMunich	2	0	BORUSSIA DORTMUND	V	CoupeNat	Mars
9	2019-09-08	Uerdingen	CN	0-2	BorussiaDortmund	0	2	BORUSSIA DORTMUND	V	CoupeNat	Septembre
8	2019-08-17	BorussiaDortmund	Bundes	5-1	Augsbourg	5	1	BORUSSIA DORTMUND	V	Championnat	Août
8	2019-08-23	FCCologne	Bundes	1-3	BorussiaDortmund	1	3	BORUSSIA DORTMUND	V	Championnat	Août
8	2019-08-31	UnionBerlin	Bundes	3-1	BorussiaDortmund	3	1	BORUSSIA DORTMUND	D	Championnat	Août
9	2019-09-14	BorussiaDortmund	Bundes	4-0	BayerLeverkusen	4	0	BORUSSIA DORTMUND	V	Championnat	Septembre
9	2019-09-17	BorussiaDortmund	LDC	0-0	FCBarcelone	0	0	BORUSSIA DORTMUND	N	LDC	Septembre
9	2019-09-22	EintrachtFrancfort	Bundes	2-2	BorussiaDortmund	2	2	BORUSSIA DORTMUND	N	Championnat	Septembre
9	2019-09-28	BorussiaDortmund	Bundes	2-2	WerderBrême	2	2	BORUSSIA DORTMUND	N	Championnat	Septembre
2	2019-02-10	SlaviaPrague	LDC	0-2	BorussiaDortmund	0	2	BORUSSIA DORTMUND	V	LDC	Février
5	2019-05-10	Fribourg	Bundes	2-2	BorussiaDortmund	2	2	BORUSSIA DORTMUND	N	Championnat	Mai
10	2019-10-19	BorussiaDortmund	Bundes	1-0	BorussiaM'Gladbach	1	0	BORUSSIA DORTMUND	V	Championnat	Octobre
10	2019-10-23	InterMilan	LDC	2-0	BorussiaDortmund	2	0	BORUSSIA DORTMUND	D	LDC	Octobre
10	2019-10-26	Schalke04	Bundes	0-0	BorussiaDortmund	0	0	BORUSSIA DORTMUND	N	Championnat	Octobre
10	2019-10-30	BorussiaDortmund	CN	2-1	BorussiaM'Gladbach	2	1	BORUSSIA DORTMUND	V	CoupeNat	Octobre
2	2019-02-11	BorussiaDortmund	Bundes	3-0	Wolfsburg	3	0	BORUSSIA DORTMUND	V	Championnat	Février
5	2019-05-11	BorussiaDortmund	LDC	3-2	InterMilan	3	2	BORUSSIA DORTMUND	V	LDC	Mai
9	2019-09-11	BayernMunich	Bundes	4-0	BorussiaDortmund	4	0	BORUSSIA DORTMUND	D	Championnat	Septembre
11	2019-11-22	BorussiaDortmund	Bundes	3-3	Paderborn	3	3	BORUSSIA DORTMUND	N	Championnat	Novembre
11	2019-11-27	FCBarcelone	LDC	3-1	BorussiaDortmund	3	1	BORUSSIA DORTMUND	D	LDC	Novembre
11	2019-11-30	HerthaBerlin	Bundes	1-2	BorussiaDortmund	1	2	BORUSSIA DORTMUND	V	Championnat	Novembre
7	2019-07-12	BorussiaDortmund	Bundes	5-0	FortunaDüsseldorf	5	0	BORUSSIA DORTMUND	V	Championnat	Juillet
10	2019-10-12	BorussiaDortmund	LDC	2-1	SlaviaPrague	2	1	BORUSSIA DORTMUND	V	LDC	Octobre
12	2019-12-14	Mayence	Bundes	0-4	BorussiaDortmund	0	4	BORUSSIA DORTMUND	V	Championnat	Décembre
12	2019-12-17	BorussiaDortmund	Bundes	3-3	RBLeipzig	3	3	BORUSSIA DORTMUND	N	Championnat	Décembre
12	2019-12-20	Hoffenheim	Bundes	2-1	BorussiaDortmund	2	1	BORUSSIA DORTMUND	D	Championnat	Décembre
10	2019-10-08	AlemanniaAachen	CN	1-4	BayerLeverkusen	1	4	BAYER LEVERKUSEN	V	CoupeNat	Octobre
8	2019-08-17	BayerLeverkusen	Bundes	3-2	Paderborn	3	2	BAYER LEVERKUSEN	V	Championnat	Août
8	2019-08-24	FortunaDüsseldorf	Bundes	1-3	BayerLeverkusen	1	3	BAYER LEVERKUSEN	V	Championnat	Août
8	2019-08-31	BayerLeverkusen	Bundes	0-0	Hoffenheim	0	0	BAYER LEVERKUSEN	N	Championnat	Août
9	2019-09-14	BorussiaDortmund	Bundes	4-0	BayerLeverkusen	4	0	BAYER LEVERKUSEN	D	Championnat	Septembre
9	2019-09-18	BayerLeverkusen	LDC	1-2	LokomotivMoscou	1	2	BAYER LEVERKUSEN	D	LDC	Septembre
9	2019-09-21	BayerLeverkusen	Bundes	2-0	UnionBerlin	2	0	BAYER LEVERKUSEN	V	Championnat	Septembre
9	2019-09-28	Augsbourg	Bundes	0-3	BayerLeverkusen	0	3	BAYER LEVERKUSEN	V	Championnat	Septembre
1	2019-01-10	JuventusTurin	LDC	3-0	BayerLeverkusen	3	0	BAYER LEVERKUSEN	D	LDC	Janvier
5	2019-05-10	BayerLeverkusen	Bundes	1-1	RBLeipzig	1	1	BAYER LEVERKUSEN	N	Championnat	Mai
10	2019-10-18	EintrachtFrancfort	Bundes	3-0	BayerLeverkusen	3	0	BAYER LEVERKUSEN	D	Championnat	Octobre
10	2019-10-22	AtléticodeMadrid	LDC	1-0	BayerLeverkusen	1	0	BAYER LEVERKUSEN	D	LDC	Octobre
10	2019-10-26	BayerLeverkusen	Bundes	2-2	WerderBrême	2	2	BAYER LEVERKUSEN	N	Championnat	Octobre
10	2019-10-29	BayerLeverkusen	CN	1-0	Paderborn	1	0	BAYER LEVERKUSEN	V	CoupeNat	Octobre
2	2019-02-11	BayerLeverkusen	Bundes	1-2	BorussiaM'Gladbach	1	2	BAYER LEVERKUSEN	D	Championnat	Février
6	2019-06-11	BayerLeverkusen	LDC	2-1	AtléticodeMadrid	2	1	BAYER LEVERKUSEN	V	LDC	Juin
10	2019-10-11	Wolfsburg	Bundes	0-2	BayerLeverkusen	0	2	BAYER LEVERKUSEN	V	Championnat	Octobre
11	2019-11-23	BayerLeverkusen	Bundes	1-1	Fribourg	1	1	BAYER LEVERKUSEN	N	Championnat	Novembre
11	2019-11-26	LokomotivMoscou	LDC	0-2	BayerLeverkusen	0	2	BAYER LEVERKUSEN	V	LDC	Novembre
11	2019-11-30	BayernMunich	Bundes	1-2	BayerLeverkusen	1	2	BAYER LEVERKUSEN	V	Championnat	Novembre
7	2019-07-12	BayerLeverkusen	Bundes	2-1	Schalke04	2	1	BAYER LEVERKUSEN	V	Championnat	Juillet
11	2019-11-12	BayerLeverkusen	LDC	0-2	JuventusTurin	0	2	BAYER LEVERKUSEN	D	LDC	Novembre
12	2019-12-14	FCCologne	Bundes	2-0	BayerLeverkusen	2	0	BAYER LEVERKUSEN	D	Championnat	Décembre
12	2019-12-18	BayerLeverkusen	Bundes	0-1	HerthaBerlin	0	1	BAYER LEVERKUSEN	D	Championnat	Décembre
12	2019-12-21	Mayence	Bundes	0-1	BayerLeverkusen	0	1	BAYER LEVERKUSEN	V	Championnat	Décembre
3	2019-03-08	Wolfsburg	MA	8-1	Nice	8	1	WOLFSBURG	V	Amicaux	Mars
12	2019-12-08	HallescherFC	CN	3-5	Wolfsburg	3	5	WOLFSBURG	V	CoupeNat	Décembre
8	2019-08-17	Wolfsburg	Bundes	2-1	FCCologne	2	1	WOLFSBURG	V	Championnat	Août
8	2019-08-25	HerthaBerlin	Bundes	0-3	Wolfsburg	0	3	WOLFSBURG	V	Championnat	Août
8	2019-08-31	Wolfsburg	Bundes	1-1	Paderborn	1	1	WOLFSBURG	N	Championnat	Août
9	2019-09-13	FortunaDüsseldorf	Bundes	1-1	Wolfsburg	1	1	WOLFSBURG	N	Championnat	Septembre
9	2019-09-19	Wolfsburg	C3	3-1	Oleksandria	3	1	WOLFSBURG	V	C3	Septembre
9	2019-09-23	Wolfsburg	Bundes	1-1	Hoffenheim	1	1	WOLFSBURG	N	Championnat	Septembre
9	2019-09-28	Mayence	Bundes	0-1	Wolfsburg	0	1	WOLFSBURG	V	Championnat	Septembre
3	2019-03-10	Saint-Étien.	C3	1-1	Wolfsburg	1	1	WOLFSBURG	N	C3	Mars
6	2019-06-10	Wolfsburg	Bundes	1-0	UnionBerlin	1	0	WOLFSBURG	V	Championnat	Juin
10	2019-10-19	RBLeipzig	Bundes	1-1	Wolfsburg	1	1	WOLFSBURG	N	Championnat	Octobre
10	2019-10-24	LaGantoise	C3	2-2	Wolfsburg	2	2	WOLFSBURG	N	C3	Octobre
10	2019-10-27	Wolfsburg	Bundes	0-0	Augsbourg	0	0	WOLFSBURG	N	Championnat	Octobre
10	2019-10-30	Wolfsburg	CN	1-6	RBLeipzig	1	6	WOLFSBURG	D	CoupeNat	Octobre
2	2019-02-11	BorussiaDortmund	Bundes	3-0	Wolfsburg	3	0	WOLFSBURG	D	Championnat	Février
7	2019-07-11	Wolfsburg	C3	1-3	LaGantoise	1	3	WOLFSBURG	D	C3	Juillet
10	2019-10-11	Wolfsburg	Bundes	0-2	BayerLeverkusen	0	2	WOLFSBURG	D	Championnat	Octobre
11	2019-11-23	EintrachtFrancfort	Bundes	0-2	Wolfsburg	0	2	WOLFSBURG	V	Championnat	Novembre
11	2019-11-28	Oleksandria	C3	0-1	Wolfsburg	0	1	WOLFSBURG	V	C3	Novembre
1	2019-01-12	Wolfsburg	Bundes	2-3	WerderBrême	2	3	WOLFSBURG	D	Championnat	Janvier
7	2019-07-12	Fribourg	Bundes	1-0	Wolfsburg	1	0	WOLFSBURG	D	Championnat	Juillet
12	2019-12-12	Wolfsburg	C3	1-0	Saint-Étien.	1	0	WOLFSBURG	V	C3	Décembre
12	2019-12-15	Wolfsburg	Bundes	2-1	BorussiaM'Gladbach	2	1	WOLFSBURG	V	Championnat	Décembre
12	2019-12-18	Wolfsburg	Bundes	1-1	Schalke04	1	1	WOLFSBURG	N	Championnat	Décembre
12	2019-12-21	BayernMunich	Bundes	2-0	Wolfsburg	2	0	WOLFSBURG	D	Championnat	Décembre
7	2019-07-26	RBLeipzig	MA	2-0	Rennes	2	0	RB LEIPZIG	V	Amicaux	Juillet
11	2019-11-08	Osnabrück	CN	2-3	RBLeipzig	2	3	RB LEIPZIG	V	CoupeNat	Novembre
8	2019-08-18	UnionBerlin	Bundes	0-4	RBLeipzig	0	4	RB LEIPZIG	V	Championnat	Août
8	2019-08-25	RBLeipzig	Bundes	2-1	EintrachtFrancfort	2	1	RB LEIPZIG	V	Championnat	Août
8	2019-08-30	BorussiaM'Gladbach	Bundes	1-3	RBLeipzig	1	3	RB LEIPZIG	V	Championnat	Août
9	2019-09-14	RBLeipzig	Bundes	1-1	BayernMunich	1	1	RB LEIPZIG	N	Championnat	Septembre
9	2019-09-17	Benfica	LDC	1-2	RBLeipzig	1	2	RB LEIPZIG	V	LDC	Septembre
9	2019-09-21	WerderBrême	Bundes	0-3	RBLeipzig	0	3	RB LEIPZIG	V	Championnat	Septembre
9	2019-09-28	RBLeipzig	Bundes	1-3	Schalke04	1	3	RB LEIPZIG	D	Championnat	Septembre
2	2019-02-10	RBLeipzig	LDC	0-2	Lyon	0	2	RB LEIPZIG	D	LDC	Février
5	2019-05-10	BayerLeverkusen	Bundes	1-1	RBLeipzig	1	1	RB LEIPZIG	N	Championnat	Mai
10	2019-10-19	RBLeipzig	Bundes	1-1	Wolfsburg	1	1	RB LEIPZIG	N	Championnat	Octobre
10	2019-10-23	RBLeipzig	LDC	2-1	ZénithSaint-Pétersbourg	2	1	RB LEIPZIG	V	LDC	Octobre
10	2019-10-26	Fribourg	Bundes	2-1	RBLeipzig	2	1	RB LEIPZIG	D	Championnat	Octobre
10	2019-10-30	Wolfsburg	CN	1-6	RBLeipzig	1	6	RB LEIPZIG	V	CoupeNat	Octobre
2	2019-02-11	RBLeipzig	Bundes	8-0	Mayence	8	0	RB LEIPZIG	V	Championnat	Février
5	2019-05-11	ZénithSaint-Pétersbourg	LDC	0-2	RBLeipzig	0	2	RB LEIPZIG	V	LDC	Mai
9	2019-09-11	HerthaBerlin	Bundes	2-4	RBLeipzig	2	4	RB LEIPZIG	V	Championnat	Septembre
11	2019-11-23	RBLeipzig	Bundes	4-1	FCCologne	4	1	RB LEIPZIG	V	Championnat	Novembre
11	2019-11-27	RBLeipzig	LDC	2-2	Benfica	2	2	RB LEIPZIG	N	LDC	Novembre
11	2019-11-30	Paderborn	Bundes	2-3	RBLeipzig	2	3	RB LEIPZIG	V	Championnat	Novembre
7	2019-07-12	RBLeipzig	Bundes	3-1	Hoffenheim	3	1	RB LEIPZIG	V	Championnat	Juillet
10	2019-10-12	Lyon	LDC	2-2	RBLeipzig	2	2	RB LEIPZIG	N	LDC	Octobre
12	2019-12-14	FortunaDüsseldorf	Bundes	0-3	RBLeipzig	0	3	RB LEIPZIG	V	Championnat	Décembre
12	2019-12-17	BorussiaDortmund	Bundes	3-3	RBLeipzig	3	3	RB LEIPZIG	N	Championnat	Décembre
12	2019-12-21	RBLeipzig	Bundes	3-1	Augsbourg	3	1	RB LEIPZIG	V	Championnat	Décembre
